ID,HQ_TEQ,CR_TEQ,EPA_CR_TEQ,TEQ,TCDF_2378,TCDF_Total,TCDD_2378,TCDD_Total,PeCDF_12378,PeCDF_23478,PeCDF_Total,PeCDD_12378,PeCDD_Total,HxCDF_123478,HxCDF_123678,HxCDF_234678,HxCDF_123789,HxCDF_Total,HxCDD_123478,HxCDD_123678,HxCDD_123789,HxCDD_Total,HpCDF_1234678,HpCDF_1234789,HpCDF_Total,HpCDD_1234678,HpCDD_Total,OCDF,OCDD
94-2,0.048,5.04e-6,1.87e-6,1.7999999999999998e-4,0,0,0,0,0,1.1e-4,0,0,0,2.3999999999999998e-4,1.7999999999999998e-4,3.2e-4,1.5e-4,5.600000000000001e-4,2.8000000000000003e-4,1.3000000000000002e-4,0,0.0016,9.9e-4,0,9.9e-4,7.199999999999999e-4,0.0016,4.7999999999999996e-4,0.0012
94-3,0.0253,2.66e-6,9.88e-7,9.5e-5,0,0,0,0,0,0,0,0,0,2.2e-4,1.3000000000000002e-4,2.3e-4,0,0.001,2.8000000000000003e-4,0,0,2.8000000000000003e-4,5.3e-4,0,0,3.2e-4,0,0,8.6e-4
95-1,0.0853,8.96e-6,3.33e-6,3.2e-4,3.9e-4,0.0011,0,0,1.1e-4,1.7e-4,3.5999999999999997e-4,1.4000000000000001e-4,0,1.1e-4,7.9e-5,1.9e-4,9.6e-5,3e-4,2.0999999999999998e-4,1.1e-4,0,2.0999999999999998e-4,3.7e-4,0,3.7e-4,3.1e-4,6.5e-4,1.4000000000000001e-4,6.7e-4
96-2,0.0293,3.08e-6,1.14e-6,1.1e-4,0,2e-4,0,0,0,0,0,0,0,1.5e-4,1.7999999999999998e-4,1.7999999999999998e-4,2.2e-4,3.9e-4,2.3e-4,0,0,0,6.7e-4,0,0,3.9e-4,4.5e-4,0,0.001
98-1,0.0088,9.24e-7,3.43e-7,3.3e-5,0,0,0,0,0,0,0,0,0,1e-4,0,1.4000000000000001e-4,0,1.7e-4,0,0,0,0,5.5e-4,0,0,3e-4,8.2e-4,0,7.3e-4
CTABD01,0.141,1.48e-5,5.51e-6,5.3e-4,0.0011,0.0034,8e-5,9.5e-5,1.3000000000000002e-4,3.7e-4,5.4e-4,1.3000000000000002e-4,1.3000000000000002e-4,8.9e-5,9.2e-5,3.8e-4,0,9.2e-5,2.3999999999999998e-4,1.3000000000000002e-4,0,3.5999999999999997e-4,3.5999999999999997e-4,0,3.5999999999999997e-4,2.0999999999999998e-4,4.9e-4,1.3000000000000002e-4,5.200000000000001e-4
CTABD03,0.048,5.04e-6,1.87e-6,1.7999999999999998e-4,0,0,0,0,0,0,0,0,0,5e-4,3.9e-4,4e-4,3e-4,0.0025,0,0,0,0,0.0014,0,0.002,8.399999999999999e-4,0,0.0011,0.0014
CTAGWT2,0.176,1.85e-5,6.86e-6,6.6e-4,4.3e-4,3.5e-4,0,0,0,4.1e-4,3.7e-4,3.2e-4,0,5.899999999999999e-4,3.5e-4,3.5999999999999997e-4,2.3999999999999998e-4,0.0033,0,0,0,0,0.0013,0,0.0013,7.3e-4,9e-4,6.1e-4,0.0018
CTCAG03,0.125,1.32e-5,4.89e-6,4.7e-4,0,0,2.3e-4,0,0,3.3e-4,0,0,0,6.7e-4,2.6000000000000003e-4,2.8000000000000003e-4,0,0.0014,0,0,0,0,8.3e-4,0,0,5.5e-4,6.1e-4,0,0.0014
CTMALL2,0.4,4.2e-5,1.56e-5,0.0015,0.0011,0,6.4e-4,6.4e-4,0,6e-4,1.9e-4,5.7e-4,5.7e-4,4e-4,0,0,0,0.001,0,0,0,0,8.6e-4,0,8.6e-4,5.7e-4,5.7e-4,4.7999999999999996e-4,0.0012
CTMALL3,0.0533,5.6e-6,2.08e-6,2e-4,1.9e-4,2e-4,0,0,0,2.5e-4,4.4e-4,0,0,3.7e-4,2.3999999999999998e-4,2.9e-4,0,0.0011,0,0,0,0,0.0012,0,0.0012,7.9e-4,0.0016,5.7e-4,8.6e-4
CTWOD01,0.0453,4.76e-6,1.77e-6,1.7e-4,0,0,0,0,0,1.3000000000000002e-4,6.2e-4,0,0,3.5e-4,2.7e-4,2.8000000000000003e-4,3e-4,0.0012,0,0,0,0,0.001,0,0.001,4.7999999999999996e-4,0,3.1e-4,0.0012
CTWOD02,0.0293,3.08e-6,1.14e-6,1.1e-4,2e-4,6.2e-4,0,0,0,0,6e-4,0,0,2.2e-4,0,1.7999999999999998e-4,0,2.8000000000000003e-4,3.9e-4,0,0,0,0.001,0,0.001,5e-4,0,3.2e-4,0.0013
MC-2,0.04,4.2e-6,1.56e-6,1.5e-4,0,0,0,0,0,0,4.9e-4,0,0,4.4e-4,0,7.099999999999999e-4,0,0.0018,0,0,0,0,0.0015,0,0.0015,0.0014,0.0014,5.4e-4,0.0025
NJ_ABDU_01_AD,0.0773,8.12e-6,3.01e-6,2.9e-4,7.099999999999999e-4,7.099999999999999e-4,0,3.5e-4,0,3.1e-4,0,0,0,0,3.5999999999999997e-4,4.1999999999999996e-4,0,7.8e-4,3.9e-4,0,0,3.9e-4,4.4e-4,0,0,6.6e-4,6.6e-4,0,0.0011
NJ_ABDU_02_LC,0.0243,2.55e-6,9.46e-7,9.1e-5,0,3.4e-4,0,0,0,0,0,0,0,4.1e-4,0,3.2e-4,0,0.0018,0,0,0,0,0.0012,0,0.0012,6.6e-4,0,0,0.0014
NJ_ABDU_30_AD,0.179,1.88e-5,6.96e-6,6.7e-4,0.0028,0.0055,0,0,0,5.3e-4,0.0011,0,0,4.3e-4,2.7e-4,7e-4,0,0.002,3.5e-4,4e-4,0,7.5e-4,8.5e-4,0,0.0044,7.8e-4,7.8e-4,0,0.0014
NJ_AGWT_01_LC,0.453,4.76e-5,1.77e-5,0.0017,0.0017,0.0035,0,0,7.9e-4,7.8e-4,6.4e-4,8.399999999999999e-4,8.399999999999999e-4,6e-4,5.7e-4,9.4e-4,0,0.0013,9.4e-4,9.599999999999999e-4,0,0.0046,0.0017,0,0.0017,0.002,0.0035,0,0.0029
NJ_AGWT_02_AD,0.373,3.92e-5,1.46e-5,0.0014,0.0012,0.003,2.3999999999999998e-4,0.0013,3.1e-4,7.099999999999999e-4,0.0015,4.1e-4,3.7e-4,8.2e-4,4.7999999999999996e-4,3.5999999999999997e-4,2.3e-4,0.0011,7.9e-4,7.4e-4,5e-4,0.0055,0.0014,0,0.0014,0.0023,0.0039,6.8e-4,0.0040999999999999995
NJ_CAGO_01_AD,0.267,2.8e-5,1.04e-5,0.001,0,0,6.3e-4,6.3e-4,0,3.2e-4,0.0016,0,3.4e-4,5.899999999999999e-4,3.8e-4,2.3999999999999998e-4,0,5.600000000000001e-4,5.7e-4,5e-4,3.9e-4,0.0014,0.0014,0,0.0014,0.0022,0.0022,5.4e-4,0.013
NJ_CAGO_30_AD,0.243,2.55e-5,9.46e-6,9.1e-4,0,0,0,5.4e-4,0,3.4e-4,8.3e-4,5.1e-4,0,6.1e-4,3.2e-4,2.6000000000000003e-4,0,0,6.7e-4,6.1e-4,2.3e-4,0.0013,8e-4,0,0,0.0014,0.0021000000000000003,0,0.004200000000000001
NJ_MALL_01_AD,0.192,2.02e-5,7.48e-6,7.199999999999999e-4,2.3999999999999998e-4,0.0012,4.7999999999999996e-4,4.7999999999999996e-4,0,2.6000000000000003e-4,5.1e-4,0,0,3.8e-4,3.2e-4,2.6000000000000003e-4,2.3999999999999998e-4,0.0018,0,0,0,0,9.699999999999999e-4,0,9.699999999999999e-4,3.2e-4,5.4e-4,2.0999999999999998e-4,0.001
NJ_MALL_11_AD,0.64,6.72e-5,2.49e-5,0.0024,0.0021000000000000003,0.0036,8.5e-4,8.5e-4,2.7e-4,0.0011,0.0026,6.4e-4,9.599999999999999e-4,0.0014,5.5e-4,3e-4,0,0.002,7.6e-4,5.7e-4,0,0.0013,0.0014,0,0.0014,0.0012,0.002,4.7e-4,0.0027
NJ_MALL_30_AD,0.533,5.6e-5,2.08e-5,0.002,0.0029,0.0048,6.1e-4,0,0,9.1e-4,9.1e-4,5.200000000000001e-4,5.200000000000001e-4,0.0011,8.6e-4,3.5999999999999997e-4,0,0.0017,4.6e-4,3.9e-4,0,4.6e-4,0.0012,0,0.0012,8.8e-4,0.0017,5e-4,0.0012
NJ_WODU_01_AD,0.0259,2.72e-6,1.01e-6,9.7e-5,3.5e-4,3.5e-4,0,6.1e-4,0,0,0.001,0,0,4.6e-4,0,0,0,0.0015,0,0,0,0,8.900000000000001e-4,0,0,6.7e-4,0.0015,0,0.0012
NJ_WODU_01_JK,0.0173,1.82e-6,6.76e-7,6.500000000000001e-5,2.8000000000000003e-4,2.8000000000000003e-4,0,0,0,0,5.200000000000001e-4,0,0,2.5e-4,0,0,0,3.5999999999999997e-4,0,0,0,0,7.3e-4,0,7.3e-4,4.6e-4,0.0012,3.3e-4,0
CTABD02,0.205,2.16e-5,8e-6,7.700000000000001e-4,0.0022,0.0057,0,6.4e-4,1.9e-4,5e-4,5e-4,3.2e-4,0,0,0,2.0999999999999998e-4,0,0.0014,2.3999999999999998e-4,1.7999999999999998e-4,0,0,0,0,0,3.3e-4,3.3e-4,2.3999999999999998e-4,0.0011
NJ_MALL_10_AD,0.64,6.72e-5,2.49e-5,0.0024,0.0031,0.004900000000000001,9.9e-4,9.9e-4,2.0999999999999998e-4,6.6e-4,0.0015,7.9e-4,7.9e-4,0,0,7.3e-4,0,0.0021000000000000003,3.8e-4,2.9e-4,0,2.9e-4,0,0,0,3.4e-4,0,0,7.4e-4
NJ_AGWT_01_AD,4.53,4.76e-4,1.77e-4,0.017,0.0055,0.023,0.013,0.014,0.002,0.0035,0.013,9.699999999999999e-4,0.0013,0.0029,8.100000000000001e-4,0.005,1.7e-4,0.0039,4.7999999999999996e-4,8.7e-4,2.3e-4,0.0011,9.2e-4,0,9.2e-4,0.0013,0.0027,0.0013,0.0027
