,TagNo,LabNo,SPP,Sex,Weight,Condition,Analysis_Date,Analysis_Time,Sample_Type,Analyte,Result,Detect,Result_Qualifier,Result_Unit,LOQ,Reporting_Limit,SDG,Remarks,CAS_Number,Location,Length,Sample_Date,Sample_ID,Prep
6546,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,4PCB79,NA,N,U,ng/g,0.459,0.0246,WG87204,NA,41464-48-6,NA,NA,21-Oct-21,2,NA
6547,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,4PCB81,NA,N,U,ng/g,0.459,0.0246,WG87204,NA,70362-50-4,NA,NA,21-Oct-21,2,NA
6548,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,5PCB82,NA,N,U,ng/g,0.459,0.0565,WG87204,NA,52663-62-4,NA,NA,21-Oct-21,2,NA
6549,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,5PCB83+108,NA,N,C U,ng/g,0.459,0.0287,WG87204,NA,60145-20-2,NA,NA,21-Oct-21,2,NA
6550,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,5PCB84,NA,N,U,ng/g,0.459,0.0259,WG87204,NA,52663-60-2,NA,NA,21-Oct-21,2,NA
6551,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,5PCB85+120,NA,N,C U,ng/g,0.459,0.0565,WG87204,NA,65510-45-4,NA,NA,21-Oct-21,2,NA
6552,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,5PCB86+97,NA,N,C U,ng/g,0.459,0.0565,WG87204,NA,55312-69-1,NA,NA,21-Oct-21,2,NA
6553,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,5PCB87+115+116,NA,N,C U,ng/g,0.466,0.0565,WG87204,NA,38380-02-8,NA,NA,21-Oct-21,2,NA
6554,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,5PCB88+121,NA,N,C U,ng/g,0.459,0.028,WG87204,NA,55215-17-3,NA,NA,21-Oct-21,2,NA
6555,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,5PCB89+90+101,NA,N,C U,ng/g,0.459,0.0259,WG87204,NA,73575-57-2,NA,NA,21-Oct-21,2,NA
6556,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,5PCB91,NA,N,U,ng/g,0.459,0.028,WG87204,NA,68194-05-8,NA,NA,21-Oct-21,2,NA
