ID,11Cl-PF3OUdS,3:3 FTCA,4:2 FTS,5:3 FTCA,6:2 FTS,7:3 FTCA,8:2 FTS,9Cl-PF3ONS,ADONA,EtFOSAA,HFPO-DA,HQ_HFPO-DA,MeFOSAA,N-EtFOSA,N-EtFOSE,N-MeFOSA,N-MeFOSE,NFDHA,PFBA,HQ_PFBA,PFBS,HQ_PFBS,PFDA,HQ_PFDA,PFDS,HQ_PFDS,PFDoA,HQ_PFDoA,PFDoS,PFEESA,PFHpA,HQ_PFHpA,PFHpS,PFHxA,HQ_PFHxA,PFHxS,HQ_PFHxS,PFMBA,PFMPA,PFNA,HQ_PFNA,PFNS,PFOA,HQ_PFOA,CR_PFOA,EPA_CR_PFOA,PFOS,HQ_PFOS,PFOSA,HQ_PFOSA,PFPeA,HQ_PFPeA,PFPeS,PFTeDA,HQ_PFTeDA,PFTrDA,HQ_PFTrDA,PFUnA,HQ_PFUnA,Sum_PFAS_HQ,Sum_PFAS_CR,Sum_PFAS_EPACR
142-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241,0.015,0,0,0,0,0,0.127,0.0119,0,0,0,0,0,0,0,0,0,0,0,0.0269,0,0
148-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39,0.109,0,0,0,0,0,0,0.212,0.00264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302,0.0188,0,0,0,0,0,0.723,0.0675,0,0,0,0,0,0,0,0,0,0,0,0.08894,0,0
150-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099,0,0,0,0,0,0,0.248,0.00309,0,0,0.088,0.00137,0,0,0,0,0,0,0,0.35,0.00327,0,0,1.13,0.0703,0,0,0,0,0,2.82,0.263,0,0,0,0,0,0,0,0.296,0.0046,0,0,0.34563,0,0
158-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.599,1.12e-4,0,0,0.123,0.00153,0,0,0.363,0.00565,0,0,0,0,0,0,0,0,0,0,0,0.174,0.0108,0,0,0,0,0,0.551,0.0514,0,0,0,0,0,0.167,0.0026,0.311,0.00484,0,0,0.076932,0,0
161-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162,0,0,0,0,0,0,0.268,0.00334,0,0,0.136,0.00212,0,0,0,0,0,0,0,0.315,0.00294,0,0,0.762,0.0474,0,0,0,0,0,2.18,0.203,0,0,0.381,1.42e-4,0,0,0,0.287,0.00446,0,0,0.263402,0,0
95-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87,0.093,0,0,0,0,0,0,0.212,0.00264,0,0,0.308,0.00479,0,0,0,0,0,0,0,0,0,0,0,0.401,0.025,0,0,0,0,0,1.06,0.0989,0,0,0,0,0,0.237,0.00369,0.537,0.00835,0.176,0.00274,0.14611,0,0
96-2,0,0,0,0,0,6.24,0,0,0,0,0,0,0,0,1.33,0.111,0,0,0,0,0,0,0.249,0.0031,0.483,0.00751,0.187,0.00291,0,0,0,0,0,0,0,0,0,0,0,0.417,0.0259,0,0,0,0,0,1.07,0.0999,0,0,0,0,0,0.092,0.00143,0.257,0.004,0.296,0.0046,0.14935,0,0
98-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.72,0.14,0,0,0,0,0,0,0,0,0,0,0.086,0.00134,0,0,0,0,0,0,0,0,0,0,0,0.137,0.00852,0,0,0,0,0,0.191,0.0178,0,0,0,0,0,0,0,0,0,0,0,0.02766,0,0
177-1,0,0,0,0,0,3.19,0,0,0,0,0,0,0,0,1.73,0,0,0,0,0,0,0,1.35,0.0168,0.338,0.00526,1.27,0.0198,0,0,0,0,0,0,0,0,0,0,0,0.375,0.0233,0,0,0,0,0,4.03,0.376,0,0,0,0,0,0.432,0.00672,0.55,0.00856,0.772,0.012,0.46844,0,0
184-1,0,0,0,0,0,4.37,0,0,0,0,0,0,0,0,1.14,0,0,0,0,0,0,0,0.802,0.00998,0.425,0.00661,0.613,0.00954,0,0,0,0,0.113,0,0,0.288,0.00269,0,0,0.716,0.0446,0,0,0,0,0,8.82,0.823,0,0,0,0,0,0.527,0.0082,0.641,0.00997,0.588,0.00915,0.92374,0,0
184-2,0,0,0,0,0,7.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26,0.0157,0.371,0.00577,0.657,0.0102,0,0,0.151,0.00123,0.101,0,0,0.236,0.0022,0,0,1.08,0.0672,0,0.234,0.0146,3.06e-9,1.14e-9,11.2,1.05,0,0,0,0,0,0.48,0.00747,0.735,0.0114,0.926,0.0144,1.20017,3.06e-9,1.14e-9
190-1A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,0,0,0,0,0,0,0,0.2,0.00249,0,0,0.142,0.00221,0,0,0,0,0,0,0,0.097,9.05e-4,0,0,0.689,0.0429,0,0.137,0.00852,1.79e-9,6.65e-10,3.87,0.361,0,0,0,0,0,0.128,0.00199,0.135,0.0021,0,0,0.42211499999999996,1.79e-9,6.65e-10
190-1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15,0,0,0,0,0,0,0,0.21,0.00261,0,0,0.168,0.00261,0,0,0,0,0,0,0,0.374,0.00349,0,0,0.287,0.0179,0,0,0,0,0,2.62,0.245,0,0,0,0,0,0.184,0.00286,0.221,0.00344,0,0,0.27791,0,0
197-1,0,0,0,0,0,3.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.854,0.0106,0,0,0.621,0.00966,0,0,0,0,0,0.084,3.14e-5,0.107,9.99e-4,0,0,0.866,0.053900000000000003,0,0.135,0.0084,1.76e-9,6.55e-10,2.03,0.189,0,0,0,0,0,0.187,0.00291,0.605,0.00941,1.206,0.0188,0.3037104,1.76e-9,6.55e-10
