TagNo,LabNo,SPP,Sex,Weight,Condition,Analysis_Date,Analysis_Time,Sample_Type,Analyte,Result,Detect,Result_Qualifier,Result_Unit,LOQ,Reporting_Limit,SDG,Remarks,CAS_Number,Location,Length,Sample_Date,Sample_ID,Prep
NA,L40006-44  (A),NA,NA,NA,NA,20231108,0301,Sample,PFMBA,NA,N,U,ng/g,0.339,0.0847,WG87321,NA,1432017-36-1,NA,NA,3-Nov-21,128-1,NA
NA,L40006-44  (A),NA,NA,NA,NA,20231108,0301,Sample,NFDHA,NA,N,U H,ng/g,1.49,0.169,WG87321,NA,39187-41-2,NA,NA,3-Nov-21,128-1,NA
NA,L40006-44  (A),NA,NA,NA,NA,20231025,0800,Sample,% Moisture,100,Y,NA,%,NA,NA,WG87321,NA,NA,NA,NA,3-Nov-21,128-1,NA
NA,WG87321-104  (DUP L40006-44),NA,NA,NA,NA,20231108,0119,DUP,PFBA,NA,N,U,ng/g,1.47,0.369,WG87321,NA,45048-62-2,NA,NA,3-Nov-21,128-1 (Duplicate),NA
NA,WG87321-104  (DUP L40006-44),NA,NA,NA,NA,20231108,0119,DUP,PFPeA,NA,N,U,ng/g,0.737,0.184,WG87321,NA,45167-47-3,NA,NA,3-Nov-21,128-1 (Duplicate),NA
NA,WG87321-104  (DUP L40006-44),NA,NA,NA,NA,20231108,0119,DUP,PFHxA,NA,N,U,ng/g,0.369,0.0922,WG87321,NA,92612-52-7,NA,NA,3-Nov-21,128-1 (Duplicate),NA
NA,WG87321-104  (DUP L40006-44),NA,NA,NA,NA,20231108,0119,DUP,PFHpA,NA,N,U,ng/g,0.369,0.0922,WG87321,NA,120885-29-2,NA,NA,3-Nov-21,128-1 (Duplicate),NA
NA,WG87321-104  (DUP L40006-44),NA,NA,NA,NA,20231108,0119,DUP,PFOA,NA,N,U,ng/g,0.369,0.0922,WG87321,NA,45285-51-6,NA,NA,3-Nov-21,128-1 (Duplicate),NA
NA,WG87321-104  (DUP L40006-44),NA,NA,NA,NA,20231108,0119,DUP,PFNA,0.119,Y,K J,ng/g,0.369,0.0922,WG87321,NA,72007-68-2,NA,NA,3-Nov-21,128-1 (Duplicate),NA
NA,WG87321-104  (DUP L40006-44),NA,NA,NA,NA,20231108,0119,DUP,PFDA,NA,N,U,ng/g,0.369,0.0922,WG87321,NA,73829-36-4,NA,NA,3-Nov-21,128-1 (Duplicate),NA
NA,WG87321-104  (DUP L40006-44),NA,NA,NA,NA,20231108,0119,DUP,PFUnA,NA,N,U,ng/g,0.369,0.0922,WG87321,NA,196859-54-8,NA,NA,3-Nov-21,128-1 (Duplicate),NA
NA,WG87321-104  (DUP L40006-44),NA,NA,NA,NA,20231108,0119,DUP,PFDoA,NA,N,U,ng/g,0.369,0.0737,WG87321,NA,171978-95-3,NA,NA,3-Nov-21,128-1 (Duplicate),NA
NA,WG87321-104  (DUP L40006-44),NA,NA,NA,NA,20231108,0119,DUP,PFTrDA,NA,N,U,ng/g,0.369,0.0922,WG87321,NA,862374-87-6,NA,NA,3-Nov-21,128-1 (Duplicate),NA
NA,WG87321-104  (DUP L40006-44),NA,NA,NA,NA,20231108,0119,DUP,PFTeDA,NA,N,U,ng/g,0.369,0.121,WG87321,NA,365971-87-5,NA,NA,3-Nov-21,128-1 (Duplicate),NA
NA,WG87321-104  (DUP L40006-44),NA,NA,NA,NA,20231108,0119,DUP,PFBS,NA,N,U,ng/g,0.369,0.0922,WG87321,NA,45187-15-3,NA,NA,3-Nov-21,128-1 (Duplicate),NA
NA,WG87321-104  (DUP L40006-44),NA,NA,NA,NA,20231108,0119,DUP,PFPeS,NA,N,U,ng/g,0.369,0.0926,WG87321,NA,175905-36-9,NA,NA,3-Nov-21,128-1 (Duplicate),NA
NA,WG87321-104  (DUP L40006-44),NA,NA,NA,NA,20231108,0119,DUP,PFHxS,NA,N,U,ng/g,0.369,0.0922,WG87321,NA,108427-53-8,NA,NA,3-Nov-21,128-1 (Duplicate),NA
NA,WG87321-104  (DUP L40006-44),NA,NA,NA,NA,20231108,0119,DUP,PFHpS,NA,N,U,ng/g,0.369,0.0922,WG87321,NA,146689-46-5,NA,NA,3-Nov-21,128-1 (Duplicate),NA
NA,WG87321-104  (DUP L40006-44),NA,NA,NA,NA,20231108,0119,DUP,PFOS,NA,N,U,ng/g,0.369,0.0922,WG87321,NA,45298-90-6,NA,NA,3-Nov-21,128-1 (Duplicate),NA
NA,WG87321-104  (DUP L40006-44),NA,NA,NA,NA,20231108,0119,DUP,PFNS,NA,N,U,ng/g,0.369,0.0922,WG87321,NA,474511-07-4,NA,NA,3-Nov-21,128-1 (Duplicate),NA
NA,WG87321-104  (DUP L40006-44),NA,NA,NA,NA,20231108,0119,DUP,PFDS,NA,N,U,ng/g,0.369,0.0922,WG87321,NA,126105-34-8,NA,NA,3-Nov-21,128-1 (Duplicate),NA
NA,WG87321-104  (DUP L40006-44),NA,NA,NA,NA,20231108,0119,DUP,PFDoS,NA,N,U,ng/g,0.369,0.0922,WG87321,NA,343629-43-6,NA,NA,3-Nov-21,128-1 (Duplicate),NA
NA,WG87321-104  (DUP L40006-44),NA,NA,NA,NA,20231108,0119,DUP,4:2 FTS,NA,N,U,ng/g,1.47,0.369,WG87321,NA,414911-30-1,NA,NA,3-Nov-21,128-1 (Duplicate),NA
NA,WG87321-104  (DUP L40006-44),NA,NA,NA,NA,20231108,0119,DUP,6:2 FTS,NA,N,U,ng/g,7.98,0.332,WG87321,NA,425670-75-3,NA,NA,3-Nov-21,128-1 (Duplicate),NA
